canonical_path,relative_to_project,bytes,extension,included_in_handoff,reason
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\cms_jetht_run2016g_collision_container.txt,data\cmssw_filelists\cms_jetht_run2016g_collision_container.txt,54,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\cms_jetht_run2016g_collision_windows.txt,data\cmssw_filelists\cms_jetht_run2016g_collision_windows.txt,110,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\cms_met_run2016g_collision_container.txt,data\cmssw_filelists\cms_met_run2016g_collision_container.txt,54,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\cms_met_run2016g_collision_windows.txt,data\cmssw_filelists\cms_met_run2016g_collision_windows.txt,108,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\cms_singlemuon_run2016g_collision_container.txt,data\cmssw_filelists\cms_singlemuon_run2016g_collision_container.txt,54,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\cms_singlemuon_run2016g_collision_windows.txt,data\cmssw_filelists\cms_singlemuon_run2016g_collision_windows.txt,115,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\sms_t5wg_mg1500_mlsp1_signal_container.txt,data\cmssw_filelists\sms_t5wg_mg1500_mlsp1_signal_container.txt,54,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\sms_t5wg_mg1500_mlsp1_signal_windows.txt,data\cmssw_filelists\sms_t5wg_mg1500_mlsp1_signal_windows.txt,110,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\susy_htoaa4b_m12_signal_container.txt,data\cmssw_filelists\susy_htoaa4b_m12_signal_container.txt,54,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\cmssw_filelists\susy_htoaa4b_m12_signal_windows.txt,data\cmssw_filelists\susy_htoaa4b_m12_signal_windows.txt,105,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\filelists_real_collision_20gb\cms_jetht_run2016g_collision_files.txt,data\filelists_real_collision_20gb\cms_jetht_run2016g_collision_files.txt,520,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\filelists_real_collision_20gb\cms_met_run2016g_collision_files.txt,data\filelists_real_collision_20gb\cms_met_run2016g_collision_files.txt,384,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\filelists_real_collision_20gb\cms_singlemuon_run2016g_collision_files.txt,data\filelists_real_collision_20gb\cms_singlemuon_run2016g_collision_files.txt,270,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\filelists_real_collision_20gb_container\cms_jetht_run2016g_collision_files.txt,data\filelists_real_collision_20gb_container\cms_jetht_run2016g_collision_files.txt,336,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\filelists_real_collision_20gb_container\cms_met_run2016g_collision_files.txt,data\filelists_real_collision_20gb_container\cms_met_run2016g_collision_files.txt,246,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\filelists_real_collision_20gb_container\cms_singlemuon_run2016g_collision_files.txt,data\filelists_real_collision_20gb_container\cms_singlemuon_run2016g_collision_files.txt,178,.txt,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\non_docker_real_collision_cms_jetht_run2016g_collision_event_features.csv,data\interim\non_docker_real_collision_cms_jetht_run2016g_collision_event_features.csv,70242024,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\non_docker_real_collision_cms_met_run2016g_collision_event_features.csv,data\interim\non_docker_real_collision_cms_met_run2016g_collision_event_features.csv,160466485,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\non_docker_real_collision_cms_singlemuon_run2016g_collision_event_features.csv,data\interim\non_docker_real_collision_cms_singlemuon_run2016g_collision_event_features.csv,248568439,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\uproot_partial_cms_jetht_run2016g_collision_partial_events.csv,data\interim\uproot_partial_cms_jetht_run2016g_collision_partial_events.csv,4400730,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\uproot_partial_cms_met_run2016g_collision_partial_events.csv,data\interim\uproot_partial_cms_met_run2016g_collision_partial_events.csv,20925876,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\uproot_partial_cms_singlemuon_run2016g_collision_partial_events.csv,data\interim\uproot_partial_cms_singlemuon_run2016g_collision_partial_events.csv,44368642,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\uproot_partial_sms_t5wg_mg1500_mlsp1_signal_partial_events.csv,data\interim\uproot_partial_sms_t5wg_mg1500_mlsp1_signal_partial_events.csv,7692994,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\uproot_partial_susy_htoaa4b_m12_signal_partial_events.csv,data\interim\uproot_partial_susy_htoaa4b_m12_signal_partial_events.csv,587154,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\uproot_real_collision_partial_cms_jetht_run2016g_collision_partial_events.csv,data\interim\uproot_real_collision_partial_cms_jetht_run2016g_collision_partial_events.csv,57187141,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\uproot_real_collision_partial_cms_met_run2016g_collision_partial_events.csv,data\interim\uproot_real_collision_partial_cms_met_run2016g_collision_partial_events.csv,129995772,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\interim\uproot_real_collision_partial_cms_singlemuon_run2016g_collision_partial_events.csv,data\interim\uproot_real_collision_partial_cms_singlemuon_run2016g_collision_partial_events.csv,202984847,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw5000_combined_event_features_scored_vs_real.csv,data\processed\cmssw5000_combined_event_features_scored_vs_real.csv,6231306,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw5000_combined_event_features_with_fitted_boundary.csv,data\processed\cmssw5000_combined_event_features_with_fitted_boundary.csv,6920295,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\real_collision_20gb_event_features_scored.csv,data\processed\real_collision_20gb_event_features_scored.csv,659313696,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\real_collision_20gb_non_docker_event_features.csv,data\processed\real_collision_20gb_non_docker_event_features.csv,479275722,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\real_collision_20gb_non_docker_event_features_scored.csv,data\processed\real_collision_20gb_non_docker_event_features_scored.csv,948989205,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\real_collision_20gb_uproot_partial_event_features.csv,data\processed\real_collision_20gb_uproot_partial_event_features.csv,390166932,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\stage2_event_features_scored.csv,data\processed\stage2_event_features_scored.csv,211437752,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\stage2_uproot_partial_event_features.csv,data\processed\stage2_uproot_partial_event_features.csv,77974468,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_file_by_file_test\cms_jetht_run2016g_collision_0002568B-EAD1-4949-B6FB-4E3C6B61FEFF_event_features.csv,data\processed\cmssw_real_only_file_by_file_test\cms_jetht_run2016g_collision_0002568B-EAD1-4949-B6FB-4E3C6B61FEFF_event_features.csv,576628,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_file_by_file_test\cms_met_run2016g_collision_020ADD62-87D5-4B43-BAAD-C77C83D5FF8F_event_features.csv,data\processed\cmssw_real_only_file_by_file_test\cms_met_run2016g_collision_020ADD62-87D5-4B43-BAAD-C77C83D5FF8F_event_features.csv,566928,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_file_by_file_test\cms_singlemuon_run2016g_collision_001FDE5F-A989-2F48-A280-D4D0F7766D95_event_features.csv,data\processed\cmssw_real_only_file_by_file_test\cms_singlemuon_run2016g_collision_001FDE5F-A989-2F48-A280-D4D0F7766D95_event_features.csv,596911,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_file_by_file_test\real_only_file_by_file_test_combined.csv,data\processed\cmssw_real_only_file_by_file_test\real_only_file_by_file_test_combined.csv,1738665,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_full_file_by_file\cms_jetht_run2016g_collision_0002568B-EAD1-4949-B6FB-4E3C6B61FEFF_event_features.csv,data\processed\cmssw_real_only_full_file_by_file\cms_jetht_run2016g_collision_0002568B-EAD1-4949-B6FB-4E3C6B61FEFF_event_features.csv,34154653,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_full_file_by_file\cms_jetht_run2016g_collision_35017A26-8C9D-204D-92B6-3ABFBBD4ADF3_event_features.csv,data\processed\cmssw_real_only_full_file_by_file\cms_jetht_run2016g_collision_35017A26-8C9D-204D-92B6-3ABFBBD4ADF3_event_features.csv,9642142,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_full_file_by_file\cms_jetht_run2016g_collision_94C50CE8-43B0-AF4D-A8AE-BE0C7EC09B80_event_features.csv,data\processed\cmssw_real_only_full_file_by_file\cms_jetht_run2016g_collision_94C50CE8-43B0-AF4D-A8AE-BE0C7EC09B80_event_features.csv,1627822,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_full_file_by_file\cms_jetht_run2016g_collision_EF857ADB-D98F-3F4A-A847-C8AC759ED9B3_event_features.csv,data\processed\cmssw_real_only_full_file_by_file\cms_jetht_run2016g_collision_EF857ADB-D98F-3F4A-A847-C8AC759ED9B3_event_features.csv,9107697,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_full_file_by_file\cms_met_run2016g_collision_020ADD62-87D5-4B43-BAAD-C77C83D5FF8F_event_features.csv,data\processed\cmssw_real_only_full_file_by_file\cms_met_run2016g_collision_020ADD62-87D5-4B43-BAAD-C77C83D5FF8F_event_features.csv,46624712,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_full_file_by_file\cms_met_run2016g_collision_0313FB78-4AB7-024F-9BAF-454665B7A5FF_event_features.csv,data\processed\cmssw_real_only_full_file_by_file\cms_met_run2016g_collision_0313FB78-4AB7-024F-9BAF-454665B7A5FF_event_features.csv,62326401,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_full_file_by_file\cms_met_run2016g_collision_0E1A8650-EA73-264D-8BA5-92902470681F_event_features.csv,data\processed\cmssw_real_only_full_file_by_file\cms_met_run2016g_collision_0E1A8650-EA73-264D-8BA5-92902470681F_event_features.csv,15667113,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_full_file_by_file\cms_singlemuon_run2016g_collision_001FDE5F-A989-2F48-A280-D4D0F7766D95_event_features.csv,data\processed\cmssw_real_only_full_file_by_file\cms_singlemuon_run2016g_collision_001FDE5F-A989-2F48-A280-D4D0F7766D95_event_features.csv,99982405,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_full_file_by_file\cms_singlemuon_run2016g_collision_080625AC-04AC-BC49-B816-7FF6BB62AAC0_event_features.csv,data\processed\cmssw_real_only_full_file_by_file\cms_singlemuon_run2016g_collision_080625AC-04AC-BC49-B816-7FF6BB62AAC0_event_features.csv,96993636,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_full_file_by_file\real_only_event_quality_trigger_features.csv,data\processed\cmssw_real_only_full_file_by_file\real_only_event_quality_trigger_features.csv,370575,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_full_file_by_file\real_only_full_cmssw_event_features_scored.csv,data\processed\cmssw_real_only_full_file_by_file\real_only_full_cmssw_event_features_scored.csv,872532870,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_full_file_by_file\real_only_full_cmssw_event_features_with_source_file.csv,data\processed\cmssw_real_only_full_file_by_file\real_only_full_cmssw_event_features_with_source_file.csv,376121477,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_full_file_by_file\real_only_full_cmssw_event_features_with_unsupervised_boundary.csv,data\processed\cmssw_real_only_full_file_by_file\real_only_full_cmssw_event_features_with_unsupervised_boundary.csv,1025947774,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_large\cms_jetht_run2016g_collision_event_features.csv,data\processed\cmssw_real_only_large\cms_jetht_run2016g_collision_event_features.csv,15984980,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_large\cms_met_run2016g_collision_event_features.csv,data\processed\cmssw_real_only_large\cms_met_run2016g_collision_event_features.csv,15720863,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_large\cms_singlemuon_run2016g_collision_event_features.csv,data\processed\cmssw_real_only_large\cms_singlemuon_run2016g_collision_event_features.csv,16537725,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_large\real_only_cmssw_event_features_combined.csv,data\processed\cmssw_real_only_large\real_only_cmssw_event_features_combined.csv,48242522,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_large\real_only_cmssw_event_features_scored.csv,data\processed\cmssw_real_only_large\real_only_cmssw_event_features_scored.csv,167270211,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_large\real_only_cmssw_event_features_with_unsupervised_boundary.csv,data\processed\cmssw_real_only_large\real_only_cmssw_event_features_with_unsupervised_boundary.csv,207725267,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_jetht_run2016g_collision_0002568B-EAD1-4949-B6FB-4E3C6B61FEFF_event_features.csv,data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_jetht_run2016g_collision_0002568B-EAD1-4949-B6FB-4E3C6B61FEFF_event_features.csv,2887897,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_jetht_run2016g_collision_35017A26-8C9D-204D-92B6-3ABFBBD4ADF3_event_features.csv,data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_jetht_run2016g_collision_35017A26-8C9D-204D-92B6-3ABFBBD4ADF3_event_features.csv,2864881,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_jetht_run2016g_collision_94C50CE8-43B0-AF4D-A8AE-BE0C7EC09B80_event_features.csv,data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_jetht_run2016g_collision_94C50CE8-43B0-AF4D-A8AE-BE0C7EC09B80_event_features.csv,1692739,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_jetht_run2016g_collision_EF857ADB-D98F-3F4A-A847-C8AC759ED9B3_event_features.csv,data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_jetht_run2016g_collision_EF857ADB-D98F-3F4A-A847-C8AC759ED9B3_event_features.csv,2881335,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_met_run2016g_collision_020ADD62-87D5-4B43-BAAD-C77C83D5FF8F_event_features.csv,data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_met_run2016g_collision_020ADD62-87D5-4B43-BAAD-C77C83D5FF8F_event_features.csv,2839676,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_met_run2016g_collision_0313FB78-4AB7-024F-9BAF-454665B7A5FF_event_features.csv,data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_met_run2016g_collision_0313FB78-4AB7-024F-9BAF-454665B7A5FF_event_features.csv,2785278,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
