mode,sample_validation_id,region,relative_independent_shape_uncertainty,microband,observed,expected_from_sm_sideband,obs_over_exp
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q95_97,133.0,117.40305275501086,1.13284958848162
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q97_98,83.0,58.7648220024835,1.4124096214652413
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q98_99,149.0,59.06837657426715,2.522500340138197
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q99_100,189.0,58.91663047861054,3.207922762463745
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q95_97,133.0,117.40305275501086,1.13284958848162
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q97_98,83.0,58.7648220024835,1.4124096214652413
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q98_99,149.0,59.06837657426715,2.522500340138197
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q99_100,189.0,58.91663047861054,3.207922762463745
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q95_97,133.0,117.40305275501086,1.13284958848162
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q97_98,83.0,58.7648220024835,1.4124096214652413
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q98_99,149.0,59.06837657426715,2.522500340138197
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q99_100,189.0,58.91663047861054,3.207922762463745
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q95_97,133.0,117.40305275501086,1.13284958848162
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q97_98,83.0,58.7648220024835,1.4124096214652413
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q98_99,149.0,59.06837657426715,2.522500340138197
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q99_100,189.0,58.91663047861054,3.207922762463745
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q95_97,133.0,117.40305275501086,1.13284958848162
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q97_98,83.0,58.7648220024835,1.4124096214652413
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q98_99,149.0,59.06837657426715,2.522500340138197
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q99_100,189.0,58.91663047861054,3.207922762463745
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q95_97,500.0,495.16933815038595,1.0097555754717327
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q97_98,250.0,247.85163021455625,1.0086679671365646
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q98_99,250.0,249.1319284084737,1.0034843851491528
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q99_100,250.0,248.4919108621669,1.0060689667225007
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q95_97,500.0,495.16933815038595,1.0097555754717327
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q97_98,250.0,247.85163021455625,1.0086679671365646
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q98_99,250.0,249.1319284084737,1.0034843851491528
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q99_100,250.0,248.4919108621669,1.0060689667225007
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,q95_97,500.0,495.16933815038595,1.0097555754717327
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,q97_98,250.0,247.85163021455625,1.0086679671365646
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,q98_99,250.0,249.1319284084737,1.0034843851491528
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,q99_100,250.0,248.4919108621669,1.0060689667225007
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,q95_97,500.0,495.16933815038595,1.0097555754717327
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,q97_98,250.0,247.85163021455625,1.0086679671365646
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,q98_99,250.0,249.1319284084737,1.0034843851491528
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,q99_100,250.0,248.4919108621669,1.0060689667225007
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,q95_97,500.0,495.16933815038595,1.0097555754717327
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,q97_98,250.0,247.85163021455625,1.0086679671365646
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,q98_99,250.0,249.1319284084737,1.0034843851491528
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,q99_100,250.0,248.4919108621669,1.0060689667225007
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.1,q95_97,409.0,350.6118378193862,1.1665322042283461
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.1,q97_98,225.0,175.4949446196616,1.2820882133535378
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.1,q98_99,224.0,176.40147834083862,1.269830627877124
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.1,q99_100,289.0,175.94830462659883,1.6425279039392955
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.2,q95_97,409.0,350.6118378193862,1.1665322042283461
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.2,q97_98,225.0,175.4949446196616,1.2820882133535378
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.2,q98_99,224.0,176.40147834083862,1.269830627877124
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.2,q99_100,289.0,175.94830462659883,1.6425279039392955
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.3,q95_97,409.0,350.6118378193862,1.1665322042283461
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.3,q97_98,225.0,175.4949446196616,1.2820882133535378
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.3,q98_99,224.0,176.40147834083862,1.269830627877124
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.3,q99_100,289.0,175.94830462659883,1.6425279039392955
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.4,q95_97,409.0,350.6118378193862,1.1665322042283461
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.4,q97_98,225.0,175.4949446196616,1.2820882133535378
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.4,q98_99,224.0,176.40147834083862,1.269830627877124
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.4,q99_100,289.0,175.94830462659883,1.6425279039392955
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.5,q95_97,409.0,350.6118378193862,1.1665322042283461
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.5,q97_98,225.0,175.4949446196616,1.2820882133535378
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.5,q98_99,224.0,176.40147834083862,1.269830627877124
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.5,q99_100,289.0,175.94830462659883,1.6425279039392955
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,q95_97,1290.0,1285.842958745357,1.0032329307606112
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,q97_98,650.0,643.6147171700574,1.0099209708224486
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,q98_99,640.0,646.9393624800688,0.9892735503780966
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,q99_100,650.0,645.2773814324012,1.0073187418364415
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.2,q95_97,1290.0,1285.842958745357,1.0032329307606112
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.2,q97_98,650.0,643.6147171700574,1.0099209708224486
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.2,q98_99,640.0,646.9393624800688,0.9892735503780966
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.2,q99_100,650.0,645.2773814324012,1.0073187418364415
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.3,q95_97,1290.0,1285.842958745357,1.0032329307606112
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.3,q97_98,650.0,643.6147171700574,1.0099209708224486
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.3,q98_99,640.0,646.9393624800688,0.9892735503780966
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.3,q99_100,650.0,645.2773814324012,1.0073187418364415
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.4,q95_97,1290.0,1285.842958745357,1.0032329307606112
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.4,q97_98,650.0,643.6147171700574,1.0099209708224486
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.4,q98_99,640.0,646.9393624800688,0.9892735503780966
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.4,q99_100,650.0,645.2773814324012,1.0073187418364415
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.5,q95_97,1290.0,1285.842958745357,1.0032329307606112
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.5,q97_98,650.0,643.6147171700574,1.0099209708224486
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.5,q98_99,640.0,646.9393624800688,0.9892735503780966
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.5,q99_100,650.0,645.2773814324012,1.0073187418364415
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.1,q95_97,100.0,81.46334272796672,1.227545993710734
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.1,q97_98,60.0,40.77559077723345,1.4714685638227532
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.1,q98_99,57.0,40.98622048010374,1.3907113008302376
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.1,q99_100,72.0,40.88092727087262,1.761212497038919
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.2,q95_97,100.0,81.46334272796672,1.227545993710734
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.2,q97_98,60.0,40.77559077723345,1.4714685638227532
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.2,q98_99,57.0,40.98622048010374,1.3907113008302376
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.2,q99_100,72.0,40.88092727087262,1.761212497038919
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.3,q95_97,100.0,81.46334272796672,1.227545993710734
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.3,q97_98,60.0,40.77559077723345,1.4714685638227532
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.3,q98_99,57.0,40.98622048010374,1.3907113008302376
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.3,q99_100,72.0,40.88092727087262,1.761212497038919
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.4,q95_97,100.0,81.46334272796672,1.227545993710734
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.4,q97_98,60.0,40.77559077723345,1.4714685638227532
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.4,q98_99,57.0,40.98622048010374,1.3907113008302376
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.4,q99_100,72.0,40.88092727087262,1.761212497038919
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.5,q95_97,100.0,81.46334272796672,1.227545993710734
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.5,q97_98,60.0,40.77559077723345,1.4714685638227532
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.5,q98_99,57.0,40.98622048010374,1.3907113008302376
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.5,q99_100,72.0,40.88092727087262,1.761212497038919
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.1,q95_97,600.0,595.0018660032863,1.0084001988603615
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.1,q97_98,300.0,297.82171695136196,1.0073140504021532
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.1,q98_99,300.0,299.3601397811498,1.0021374262429126
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.1,q99_100,300.0,298.59108643921667,1.004718538579249
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.2,q95_97,600.0,595.0018660032863,1.0084001988603615
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.2,q97_98,300.0,297.82171695136196,1.0073140504021532
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.2,q98_99,300.0,299.3601397811498,1.0021374262429126
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.2,q99_100,300.0,298.59108643921667,1.004718538579249
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.3,q95_97,600.0,595.0018660032863,1.0084001988603615
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.3,q97_98,300.0,297.82171695136196,1.0073140504021532
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.3,q98_99,300.0,299.3601397811498,1.0021374262429126
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.3,q99_100,300.0,298.59108643921667,1.004718538579249
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,q95_97,600.0,595.0018660032863,1.0084001988603615
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,q97_98,300.0,297.82171695136196,1.0073140504021532
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,q98_99,300.0,299.3601397811498,1.0021374262429126
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,q99_100,300.0,298.59108643921667,1.004718538579249
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,q95_97,600.0,595.0018660032863,1.0084001988603615
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,q97_98,300.0,297.82171695136196,1.0073140504021532
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,q98_99,300.0,299.3601397811498,1.0021374262429126
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,q99_100,300.0,298.59108643921667,1.004718538579249
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q95_97,133.0,117.8112181728897,1.1289247498045605
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q97_98,83.0,58.87227997973756,1.4098315884583819
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q98_99,149.0,58.650109423713985,2.5404897188436424
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q99_100,189.0,58.99349938613549,3.203742818559062
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q95_97,133.0,117.8112181728897,1.1289247498045605
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q97_98,83.0,58.87227997973756,1.4098315884583819
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q98_99,149.0,58.650109423713985,2.5404897188436424
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q99_100,189.0,58.99349938613549,3.203742818559062
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q95_97,133.0,117.8112181728897,1.1289247498045605
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q97_98,83.0,58.87227997973756,1.4098315884583819
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q98_99,149.0,58.650109423713985,2.5404897188436424
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q99_100,189.0,58.99349938613549,3.203742818559062
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q95_97,133.0,117.8112181728897,1.1289247498045605
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q97_98,83.0,58.87227997973756,1.4098315884583819
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q98_99,149.0,58.650109423713985,2.5404897188436424
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q99_100,189.0,58.99349938613549,3.203742818559062
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q95_97,133.0,117.8112181728897,1.1289247498045605
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q97_98,83.0,58.87227997973756,1.4098315884583819
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q98_99,149.0,58.650109423713985,2.5404897188436424
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q99_100,189.0,58.99349938613549,3.203742818559062
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q95_97,500.0,496.89085215776606,1.0062572048342857
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q97_98,250.0,248.30485433630807,1.006826872830267
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q98_99,250.0,247.36780845375966,1.01064080068742
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q99_100,250.0,248.8161198598912,1.0047580524154764
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q95_97,500.0,496.89085215776606,1.0062572048342857
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q97_98,250.0,248.30485433630807,1.006826872830267
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q98_99,250.0,247.36780845375966,1.01064080068742
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q99_100,250.0,248.8161198598912,1.0047580524154764
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,q95_97,500.0,496.89085215776606,1.0062572048342857
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,q97_98,250.0,248.30485433630807,1.006826872830267
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,q98_99,250.0,247.36780845375966,1.01064080068742
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,q99_100,250.0,248.8161198598912,1.0047580524154764
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,q95_97,500.0,496.89085215776606,1.0062572048342857
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,q97_98,250.0,248.30485433630807,1.006826872830267
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,q98_99,250.0,247.36780845375966,1.01064080068742
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,q99_100,250.0,248.8161198598912,1.0047580524154764
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,q95_97,500.0,496.89085215776606,1.0062572048342857
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,q97_98,250.0,248.30485433630807,1.006826872830267
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,q98_99,250.0,247.36780845375966,1.01064080068742
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,q99_100,250.0,248.8161198598912,1.0047580524154764
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.1,q95_97,409.0,351.83078080203114,1.162490669712429
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.1,q97_98,225.0,175.8158565381278,1.279748052481296
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.1,q98_99,224.0,175.15236759871047,1.2788865093345685
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.1,q99_100,289.0,176.17786551369713,1.6403876795608663
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.2,q95_97,409.0,351.83078080203114,1.162490669712429
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.2,q97_98,225.0,175.8158565381278,1.279748052481296
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.2,q98_99,224.0,175.15236759871047,1.2788865093345685
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.2,q99_100,289.0,176.17786551369713,1.6403876795608663
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.3,q95_97,409.0,351.83078080203114,1.162490669712429
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.3,q97_98,225.0,175.8158565381278,1.279748052481296
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.3,q98_99,224.0,175.15236759871047,1.2788865093345685
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.3,q99_100,289.0,176.17786551369713,1.6403876795608663
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.4,q95_97,409.0,351.83078080203114,1.162490669712429
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.4,q97_98,225.0,175.8158565381278,1.279748052481296
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.4,q98_99,224.0,175.15236759871047,1.2788865093345685
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.4,q99_100,289.0,176.17786551369713,1.6403876795608663
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.5,q95_97,409.0,351.83078080203114,1.162490669712429
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.5,q97_98,225.0,175.8158565381278,1.279748052481296
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.5,q98_99,224.0,175.15236759871047,1.2788865093345685
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.5,q99_100,289.0,176.17786551369713,1.6403876795608663
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,q95_97,1290.0,1290.3133418935538,0.9997571582937413
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,q97_98,650.0,644.7916378733162,1.0080775894424783
