primary_dataset,missing_decile_frozen,microband,score_low,score_high,reference_events_in_decile
MET,0,q90_95,-0.7828868998038315,-0.7468224035972011,6934
MET,0,q95_97,-0.7468224035972011,-0.7254067468085149,6934
MET,0,q97_98,-0.7254067468085149,-0.711553095456576,6934
MET,0,q98_99,-0.711553095456576,-0.6841460699695229,6934
MET,0,q99_100,-0.6841460699695229,inf,6934
MET,1,q90_95,-0.6008968874088305,-0.5691383008087917,6933
MET,1,q95_97,-0.5691383008087917,-0.5472462586832412,6933
MET,1,q97_98,-0.5472462586832412,-0.531120883974217,6933
MET,1,q98_99,-0.531120883974217,-0.5077810163830156,6933
MET,1,q99_100,-0.5077810163830156,inf,6933
MET,2,q90_95,-0.4209679682760715,-0.38641155517203557,6933
MET,2,q95_97,-0.38641155517203557,-0.3656559386198643,6933
MET,2,q97_98,-0.3656559386198643,-0.3467273235093737,6933
MET,2,q98_99,-0.3467273235093737,-0.3224527374101204,6933
MET,2,q99_100,-0.3224527374101204,inf,6933
MET,3,q90_95,-0.2293526880750237,-0.19489102991963447,6933
MET,3,q95_97,-0.19489102991963447,-0.17115196954337789,6933
MET,3,q97_98,-0.17115196954337789,-0.15258318049609026,6933
MET,3,q98_99,-0.15258318049609026,-0.12162090244325345,6933
MET,3,q99_100,-0.12162090244325345,inf,6933
MET,4,q90_95,-0.02674541155735548,0.013109781025318162,6933
MET,4,q95_97,0.013109781025318162,0.036310787851495226,6933
MET,4,q97_98,0.036310787851495226,0.05439288075805046,6933
MET,4,q98_99,0.05439288075805046,0.07647730135316264,6933
MET,4,q99_100,0.07647730135316264,inf,6933
MET,5,q90_95,0.19079143093450615,0.22965643391447774,6933
MET,5,q95_97,0.22965643391447774,0.25366624839987884,6933
MET,5,q97_98,0.25366624839987884,0.2744041916293685,6933
MET,5,q98_99,0.2744041916293685,0.2983966702116501,6933
MET,5,q99_100,0.2983966702116501,inf,6933
MET,6,q90_95,0.444249873915211,0.48331754119722004,6933
MET,6,q95_97,0.48331754119722004,0.5043874463353937,6933
MET,6,q97_98,0.5043874463353937,0.5216502158733216,6933
MET,6,q98_99,0.5216502158733216,0.548144465253883,6933
MET,6,q99_100,0.548144465253883,inf,6933
MET,7,q90_95,0.7520842001502542,0.798291843887777,6932
MET,7,q95_97,0.798291843887777,0.8263039642192099,6932
MET,7,q97_98,0.8263039642192099,0.8424773993263639,6932
MET,7,q98_99,0.8424773993263639,0.8738885171678303,6932
MET,7,q99_100,0.8738885171678303,inf,6932
MET,8,q90_95,1.2333341696146287,1.2919230573546516,6934
MET,8,q95_97,1.2919230573546516,1.3221519082833542,6934
MET,8,q97_98,1.3221519082833542,1.3454399058332938,6934
MET,8,q98_99,1.3454399058332938,1.372727118107912,6934
MET,8,q99_100,1.372727118107912,inf,6934
MET,9,q90_95,3.3637300994570083,4.028668038473562,6934
MET,9,q95_97,4.028668038473562,4.544853036432584,6934
MET,9,q97_98,4.544853036432584,4.864981906620806,6934
MET,9,q98_99,4.864981906620806,5.604439592894533,6934
MET,9,q99_100,5.604439592894533,inf,6934
JetHT,0,q90_95,-0.9096243033264118,-0.8460780954406921,3233
JetHT,0,q95_97,-0.8460780954406921,-0.8045656955782935,3233
JetHT,0,q97_98,-0.8045656955782935,-0.7622005695930505,3233
JetHT,0,q98_99,-0.7622005695930505,-0.7084828180344666,3233
JetHT,0,q99_100,-0.7084828180344666,inf,3233
JetHT,1,q90_95,-0.4532046847010054,-0.3788901111952518,3234
JetHT,1,q95_97,-0.3788901111952518,-0.33969229137423324,3234
JetHT,1,q97_98,-0.33969229137423324,-0.31844808970008437,3234
JetHT,1,q98_99,-0.31844808970008437,-0.2635284367530529,3234
JetHT,1,q99_100,-0.2635284367530529,inf,3234
JetHT,2,q90_95,-0.1793299140012789,-0.11655059678416457,3232
JetHT,2,q95_97,-0.11655059678416457,-0.07933747304694912,3232
JetHT,2,q97_98,-0.07933747304694912,-0.04807470158676533,3232
JetHT,2,q98_99,-0.04807470158676533,-0.0037171024013407236,3232
JetHT,2,q99_100,-0.0037171024013407236,inf,3232
JetHT,3,q90_95,0.03409269127019762,0.09123226255586464,3234
JetHT,3,q95_97,0.09123226255586464,0.1246893507834039,3234
JetHT,3,q97_98,0.1246893507834039,0.15588241501228814,3234
JetHT,3,q98_99,0.15588241501228814,0.20530784367665691,3234
JetHT,3,q99_100,0.20530784367665691,inf,3234
JetHT,4,q90_95,0.2210050971552936,0.2826259915554037,3233
JetHT,4,q95_97,0.2826259915554037,0.3221453247159964,3233
JetHT,4,q97_98,0.3221453247159964,0.3463707472015246,3233
JetHT,4,q98_99,0.3463707472015246,0.3913280931541456,3233
JetHT,4,q99_100,0.3913280931541456,inf,3233
JetHT,5,q90_95,0.39298943440723805,0.4571854099252636,3233
JetHT,5,q95_97,0.4571854099252636,0.4927894647733489,3233
JetHT,5,q97_98,0.4927894647733489,0.5243982314704577,3233
JetHT,5,q98_99,0.5243982314704577,0.5837537550006906,3233
JetHT,5,q99_100,0.5837537550006906,inf,3233
JetHT,6,q90_95,0.5661061516656194,0.6197637330313703,3233
JetHT,6,q95_97,0.6197637330313703,0.6640902665438871,3233
JetHT,6,q97_98,0.6640902665438871,0.6950880486889836,3233
JetHT,6,q98_99,0.6950880486889836,0.7406448617677981,3233
JetHT,6,q99_100,0.7406448617677981,inf,3233
JetHT,7,q90_95,0.752068779445643,0.81060835898144,3233
JetHT,7,q95_97,0.81060835898144,0.8491645992985187,3233
JetHT,7,q97_98,0.8491645992985187,0.8865516840053702,3233
JetHT,7,q98_99,0.8865516840053702,0.9316116631499041,3233
JetHT,7,q99_100,0.9316116631499041,inf,3233
JetHT,8,q90_95,1.0080998058870292,1.0739915458811036,3233
JetHT,8,q95_97,1.0739915458811036,1.1210273646797229,3233
JetHT,8,q97_98,1.1210273646797229,1.15461141519868,3233
JetHT,8,q98_99,1.15461141519868,1.196983750214381,3233
JetHT,8,q99_100,1.196983750214381,inf,3233
JetHT,9,q90_95,1.8492162468721145,2.14956804369668,3234
JetHT,9,q95_97,2.14956804369668,2.339452904385843,3234
JetHT,9,q97_98,2.339452904385843,2.4831145848553353,3234
JetHT,9,q98_99,2.4831145848553353,2.7670215894680807,3234
JetHT,9,q99_100,2.7670215894680807,inf,3234
SingleMuon,0,q90_95,-0.9509877864408537,-0.8938379814796804,23616
SingleMuon,0,q95_97,-0.8938379814796804,-0.856454551776004,23616
SingleMuon,0,q97_98,-0.856454551776004,-0.8357795990803962,23616
SingleMuon,0,q98_99,-0.8357795990803962,-0.8011216983578731,23616
SingleMuon,0,q99_100,-0.8011216983578731,inf,23616
SingleMuon,1,q90_95,-0.48337593962085107,-0.4352558653140426,23615
SingleMuon,1,q95_97,-0.4352558653140426,-0.410003499826983,23615
SingleMuon,1,q97_98,-0.410003499826983,-0.3886570402245502,23615
SingleMuon,1,q98_99,-0.3886570402245502,-0.35791292123964397,23615
SingleMuon,1,q99_100,-0.35791292123964397,inf,23615
SingleMuon,2,q90_95,-0.19748988603608142,-0.1555183754901144,23614
SingleMuon,2,q95_97,-0.1555183754901144,-0.1304661124255381,23614
SingleMuon,2,q97_98,-0.1304661124255381,-0.11036601539658183,23614
SingleMuon,2,q98_99,-0.11036601539658183,-0.08131791868237014,23614
SingleMuon,2,q99_100,-0.08131791868237014,inf,23614
SingleMuon,3,q90_95,0.018697418343848762,0.05474094680156242,23616
SingleMuon,3,q95_97,0.05474094680156242,0.08084753873039363,23616
SingleMuon,3,q97_98,0.08084753873039363,0.09910471297669338,23616
SingleMuon,3,q98_99,0.09910471297669338,0.13061172948163574,23616
SingleMuon,3,q99_100,0.13061172948163574,inf,23616
SingleMuon,4,q90_95,0.199866344083975,0.2350745165429867,23615
SingleMuon,4,q95_97,0.2350745165429867,0.26064961568599126,23615
SingleMuon,4,q97_98,0.26064961568599126,0.280534332735343,23615
SingleMuon,4,q98_99,0.280534332735343,0.31102608624813577,23615
SingleMuon,4,q99_100,0.31102608624813577,inf,23615
SingleMuon,5,q90_95,0.36383139862652986,0.39915319680761896,23616
SingleMuon,5,q95_97,0.39915319680761896,0.42621104845556307,23616
SingleMuon,5,q97_98,0.42621104845556307,0.44439284681837604,23616
SingleMuon,5,q98_99,0.44439284681837604,0.47091779122818833,23616
SingleMuon,5,q99_100,0.47091779122818833,inf,23616
SingleMuon,6,q90_95,0.5232645730759393,0.5599847241509277,23615
SingleMuon,6,q95_97,0.5599847241509277,0.5848932381766248,23615
SingleMuon,6,q97_98,0.5848932381766248,0.6049786547428329,23615
SingleMuon,6,q98_99,0.6049786547428329,0.6375850336256393,23615
SingleMuon,6,q99_100,0.6375850336256393,inf,23615
SingleMuon,7,q90_95,0.6895984380051006,0.7270031179491596,23615
SingleMuon,7,q95_97,0.7270031179491596,0.7532172879129331,23615
SingleMuon,7,q97_98,0.7532172879129331,0.7731181045122201,23615
SingleMuon,7,q98_99,0.7731181045122201,0.8047277739671497,23615
SingleMuon,7,q99_100,0.8047277739671497,inf,23615
SingleMuon,8,q90_95,0.8967739546417829,0.9370032780267903,23615
SingleMuon,8,q95_97,0.9370032780267903,0.96133912613561,23615
SingleMuon,8,q97_98,0.96133912613561,0.9815810979704639,23615
SingleMuon,8,q98_99,0.9815810979704639,1.0111303431786853,23615
SingleMuon,8,q99_100,1.0111303431786853,inf,23615
SingleMuon,9,q90_95,1.4671441132977967,1.6543249327102392,23616
SingleMuon,9,q95_97,1.6543249327102392,1.7956082317807671,23616
SingleMuon,9,q97_98,1.7956082317807671,1.9004971812915012,23616
SingleMuon,9,q98_99,1.9004971812915012,2.101363022530961,23616
SingleMuon,9,q99_100,2.101363022530961,inf,23616
